state,year,cigsale,lnincome,beer,age15to24,retprice
Alabama,1970,89.800003,,,.1788618,39.599998
Alabama,1971,95.400002,,,.1799278,42.700001
Alabama,1972,101.1,9.498476,,.1809939,42.299999
Alabama,1973,102.9,9.550107,,.1820599,42.099998
Alabama,1974,108.2,9.5371628,,.183126,43.099998
Alabama,1975,111.7,9.5400314,,.18419211,46.599998
Alabama,1976,116.2,9.5919085,,.18525811,50.400002
Alabama,1977,117.1,9.6174955,,.18632419,50.099998
Alabama,1978,123,9.6540718,,.18739019,55.099998
Alabama,1979,121.4,9.6491804,,.1884563,56.799999
Alabama,1980,123.2,9.6121941,,.1895223,60.599998
Alabama,1981,119.6,9.6095943,,.1858422,68.800003
Alabama,1982,119.1,9.59758,,.18216211,73.099998
Alabama,1983,116.3,9.6267691,,.178482,84.400002
Alabama,1984,113,9.6716213,18,.1748019,90.800003
Alabama,1985,114.5,9.7031927,18.700001,.17112181,99
Alabama,1986,116.3,9.7459497,19.299999,.1674417,103
Alabama,1987,114,9.7620916,19.4,.1637616,110
Alabama,1988,112.1,9.7817698,19.4,.16008151,114.4
Alabama,1989,105.6,9.8025274,19.4,.1564014,122.3
Alabama,1990,108.6,9.81429,20.1,.1527212,139.10001
Alabama,1991,107.9,9.8192596,20.1,,144.39999
Alabama,1992,109.1,9.8452864,20.4,,172.2
Alabama,1993,108.5,9.8521605,20.299999,,176.2
Alabama,1994,107.1,9.8793344,21,,154.60001
Alabama,1995,102.6,9.9244041,20.6,,155.10001
Alabama,1996,101.4,9.9400272,21,,158.3
Alabama,1997,104.9,9.9372702,20.799999,,167.39999
Alabama,1998,106.2,,,,180.5
Alabama,1999,100.7,,,,195.60001
Alabama,2000,96.199997,,,,270.70001
Arkansas,1970,100.3,,,.16900679,36.700001
Arkansas,1971,104.1,,,.1699539,38.799999
Arkansas,1972,103.9,9.4645138,,.170901,44.099998
Arkansas,1973,108,9.5568304,,.171848,45.099998
Arkansas,1974,109.7,9.5422859,,.1727951,45.5
Arkansas,1975,114.8,9.5140944,,.1737422,48.599998
Arkansas,1976,119.1,9.5581532,,.17468929,50.900002
Arkansas,1977,122.6,9.5909233,,.1756364,52.599998
Arkansas,1978,127.3,9.657238,,.1765835,56.5
Arkansas,1979,126.5,9.6335325,,.1775306,58.400002
Arkansas,1980,131.8,9.5738029,,.1784777,61.5
Arkansas,1981,128.7,9.5930414,,.1750111,64.699997
Arkansas,1982,127.4,9.5737,,.17154451,72.099998
Arkansas,1983,128,9.5930529,,.1680779,82
Arkansas,1984,123.1,9.6504402,17.9,.1646114,93.599998
Arkansas,1985,125.8,9.6755266,18.1,.16114479,98.5
Arkansas,1986,126,9.7059393,18.700001,.1576782,103.6
Arkansas,1987,122.3,9.705574,19,.1542116,113
Arkansas,1988,121.5,9.7215319,18.9,.150745,119.9
Arkansas,1989,118.3,9.7373695,19,.1472785,127.7
Arkansas,1990,113.1,9.736311,19.9,.1438119,141.2
Arkansas,1991,116.8,9.7430677,19.9,,146.5
Arkansas,1992,126,9.7886286,20,,177.3
Arkansas,1993,113.8,9.7851419,19.700001,,179.89999
Arkansas,1994,108.8,9.8136311,19.700001,,168.10001
Arkansas,1995,113,9.86446,19.5,,167.3
Arkansas,1996,110.7,9.8852339,20.1,,167.10001
Arkansas,1997,108.7,9.8831072,19.799999,,181.3
Arkansas,1998,109.5,,,,187.3
Arkansas,1999,104.8,,,,206.89999
Arkansas,2000,99.400002,,,,279.29999
California,1970,123,,,.1781583,38.799999
California,1971,121,,,.1792964,39.700001
California,1972,123.5,9.9308138,,.18043441,39.900002
California,1973,124.4,9.9550924,,.18157239,39.900002
California,1974,126.7,9.947999,,.18271039,41.900002
California,1975,127.1,9.9371672,,.1838485,45
California,1976,128,9.9768581,,.1849865,48.299999
California,1977,126.4,10.0027,,.1861245,49
California,1978,126.1,10.04556,,.18726251,58.700001
California,1979,121.9,10.05469,,.1884006,60.099998
California,1980,120.2,10.03784,,.1895386,62.099998
California,1981,118.6,10.02863,,.1855371,66.400002
California,1982,115.4,10.01253,,.1815355,72.800003
California,1983,110.8,10.03174,,.17753389,84.900002
California,1984,104.8,10.07536,25,.1735324,94.900002
California,1985,102.8,10.0997,24,.16953079,98
California,1986,99.699997,10.12727,24.700001,.1655293,104.4
California,1987,97.5,10.1343,24.1,.16152769,103.9
California,1988,90.099998,10.14166,23.6,.1575262,117.4
California,1989,82.400002,10.14231,23.700001,.15352461,126.4
California,1990,77.800003,10.14162,23.799999,.149523,163.8
California,1991,68.699997,10.11071,22.299999,,186.8
California,1992,67.5,10.11494,21.299999,,201.89999
California,1993,63.400002,10.0985,20.799999,,205.10001
California,1994,58.599998,10.09951,20.1,,190.3
California,1995,56.400002,10.15592,19.700001,,195.10001
California,1996,54.5,10.17864,19.1,,197.89999
California,1997,53.799999,10.17519,19.5,,200.3
California,1998,52.299999,,,,207.8
California,1999,47.200001,,,,224.89999
California,2000,41.599998,,,,351.20001
Colorado,1970,124.8,,,.1909502,29.4
Colorado,1971,125.5,,,.1916476,31.1
Colorado,1972,134.3,9.8055477,,.19234499,31.200001
Colorado,1973,137.89999,9.8484135,,.19304229,32.700001
Colorado,1974,132.8,9.8404512,,.1937397,38.099998
Colorado,1975,131,9.8284607,,.1944371,41.700001
Colorado,1976,134.2,9.8589134,,.1951344,44.799999
Colorado,1977,132,9.8884468,,.19583181,44.700001
Colorado,1978,129.2,9.9337511,,.19652911,57.400002
Colorado,1979,131.5,9.9422197,,.19722649,52.799999
Colorado,1980,131,9.9436121,,.1979239,54.599998
Colorado,1981,133.8,9.9572725,,.19186869,58.099998
Colorado,1982,130.5,9.9626169,,.18581361,61.400002
Colorado,1983,125.3,9.9780369,,.1797584,73.300003
Colorado,1984,119.7,10.00205,25.700001,.1737033,83.400002
Colorado,1985,112.4,10.00078,25.200001,.16764811,93.099998
Colorado,1986,109.9,10.00159,25.5,.1615929,95.099998
Colorado,1987,102.4,9.9944267,24.799999,.1555378,108.6
Colorado,1988,94.599998,10.01883,24.200001,.14948259,116
Colorado,1989,88.800003,10.04306,23.9,.14342751,130.8
Colorado,1990,87.400002,10.04625,24.200001,.1373723,149.3
Colorado,1991,90.199997,10.05476,23.5,,152.60001
Colorado,1992,88.300003,10.06634,23.700001,,157.5
Colorado,1993,88.599998,10.07967,23.5,,168.2
Colorado,1994,89.099998,10.09746,23.1,,153.2
Colorado,1995,85.400002,10.16635,24.4,,164.2
Colorado,1996,83.099998,10.19144,24.799999,,169.60001
Colorado,1997,81.300003,10.2039,24,,174.39999
Colorado,1998,81.199997,,,,185.8
Colorado,1999,79.599998,,,,204.2
Colorado,2000,73,,,,281.29999
Connecticut,1970,120,,,.1629288,42.200001
Connecticut,1971,117.6,,,.1646539,45.5
Connecticut,1972,110.8,9.9811373,,.166379,51.299999
Connecticut,1973,109.3,10.01299,,.1681042,50.599998
Connecticut,1974,112.4,9.9885349,,.16982929,52.5
Connecticut,1975,110.2,9.9607487,,.17155451,54.5
Connecticut,1976,113.4,9.993227,,.1732796,57.599998
Connecticut,1977,117.3,10.02807,,.1750048,58.400002
Connecticut,1978,117.5,10.0632,,.1767299,61.700001
Connecticut,1979,117.4,10.07551,,.178455,64.400002
Connecticut,1980,118,10.07476,,.18018021,67
Connecticut,1981,116.4,10.07957,,.1760501,80.099998
Connecticut,1982,114.7,10.09016,,.1719199,85.599998
Connecticut,1983,114.1,10.12007,,.1677898,95.599998
Connecticut,1984,112.5,10.1816,20.299999,.16365971,113.5
Connecticut,1985,111,10.21292,20.799999,.1595296,118.6
Connecticut,1986,108.5,10.26861,20.6,.1553994,118.5
Connecticut,1987,109,10.30923,21.1,.1512693,122.7
Connecticut,1988,104.8,10.3554,20.700001,.14713921,129.7
Connecticut,1989,100.6,10.36652,19.799999,.1430091,142
Connecticut,1990,91.5,10.3493,19.799999,.138879,171.2
Connecticut,1991,86.699997,10.32414,18.700001,,175.60001
Connecticut,1992,83.5,10.34384,18.299999,,193.5
Connecticut,1993,79.099998,10.34354,17.9,,202.3
Connecticut,1994,76.599998,10.3613,17.9,,205.60001
Connecticut,1995,79.300003,10.451,17.6,,205.39999
Connecticut,1996,76,10.47449,17.200001,,206.3
Connecticut,1997,75.900002,10.48662,17.5,,208.5
Connecticut,1998,75.5,,,,217.89999
Connecticut,1999,73.400002,,,,236.5
Connecticut,2000,71.400002,,,,312.29999
Delaware,1970,155,,,.1733577,39
Delaware,1971,161.10001,,,.1758872,41.299999
Delaware,1972,156.3,9.9099302,,.1784168,44.700001
Delaware,1973,154.7,9.9481773,,.18094631,44
Delaware,1974,151.3,9.9182577,,.1834759,44.200001
Delaware,1975,147.60001,9.8875313,,.1860054,45.900002
Delaware,1976,153,9.9206848,,.188535,50.099998
Delaware,1977,153.3,9.9337788,,.19106451,51.700001
Delaware,1978,155.5,9.9441271,,.1935941,58.700001
Delaware,1979,150.2,9.9261036,,.1961236,60
Delaware,1980,150.5,9.913744,,.19865321,62.700001
Delaware,1981,152.60001,9.9013929,,.193546,66
Delaware,1982,154.10001,9.9043369,,.1884388,74.099998
Delaware,1983,149.60001,9.934576,,.1833317,82
Delaware,1984,144,9.9622822,26.6,.1782245,91.099998
Delaware,1985,144.5,9.9963341,26.200001,.17311729,98.699997
Delaware,1986,142.39999,10.03209,26,.1680101,105.2
Delaware,1987,141,10.04857,25.9,.162903,111.4
Delaware,1988,137.10001,10.07772,25.700001,.1577958,119.3
Delaware,1989,131.7,10.10361,24.9,.15268859,124
Delaware,1990,127.2,10.0948,25.799999,.1475815,140
Delaware,1991,118.8,10.08306,24.9,,143.2
Delaware,1992,120,10.09146,25.200001,,174.7
Delaware,1993,123.8,10.09208,26.200001,,187.89999
Delaware,1994,126.1,10.13125,25.9,,152.5
Delaware,1995,127.2,10.22965,24.6,,160.7
Delaware,1996,128.3,10.26239,24.6,,169.10001
Delaware,1997,124.1,10.26168,24.9,,171.89999
Delaware,1998,132.8,,,,179.2
Delaware,1999,139.5,,,,198.3
Delaware,2000,140.7,,,,276.20001
Georgia,1970,109.9,,,.18744551,34.299999
Georgia,1971,115.7,,,.1878663,35.799999
Georgia,1972,117,9.6388903,,.188287,40.900002
Georgia,1973,119.8,9.684865,,.18870769,42.400002
Georgia,1974,123.7,9.6599808,,.1891285,42.400002
Georgia,1975,122.9,9.6296091,,.18954919,44.5
Georgia,1976,125.9,9.6714296,,.18997,47.900002
Georgia,1977,127.9,9.6933374,,.19039071,49.5
Georgia,1978,130.60001,9.7366514,,.1908115,54.700001
Georgia,1979,131,9.7293024,,.1912322,56.599998
Georgia,1980,134,9.7014446,,.19165289,59.299999
Georgia,1981,131.7,9.7049437,,.1879757,62.599998
Georgia,1982,131.2,9.7073441,,.1842985,67.800003
Georgia,1983,128.60001,9.7557316,,.1806213,78.900002
Georgia,1984,126.3,9.82549,21.299999,.17694411,86.800003
Georgia,1985,128.8,9.8621273,21.4,.1732669,90.699997
Georgia,1986,129,9.9138088,22.1,.1695897,100.1
Georgia,1987,129.3,9.9307976,22.299999,.16591249,103.9
Georgia,1988,124.1,9.9528627,21.700001,.1622353,109.2
Georgia,1989,117.1,9.9539089,21.5,.1585581,122.4
Georgia,1990,113.8,9.9532976,22.299999,.1548809,132.3
Georgia,1991,109.6,9.941865,21.200001,,138.2
Georgia,1992,109.2,9.9585648,21.6,,159.5
Georgia,1993,109.2,9.9678726,21.700001,,167.2
Georgia,1994,107.8,9.9982405,21.4,,147.8
Georgia,1995,100.3,10.05544,21.5,,153.8
Georgia,1996,102.7,10.07977,22,,156.10001
Georgia,1997,100.6,10.08141,21.6,,158.89999
Georgia,1998,100.5,,,,168.7
Georgia,1999,97.099998,,,,188
Georgia,2000,88.400002,,,,257.39999
Idaho,1970,102.4,,,.1781206,33.799999
Idaho,1971,108.5,,,.1760924,33.599998
Idaho,1972,126.1,9.6518393,,.17406429,33.700001
Idaho,1973,121.8,9.7210512,,.1720361,36.299999
Idaho,1974,125.6,9.7462626,,.170008,38
Idaho,1975,123.3,9.6922007,,.16797981,40.299999
Idaho,1976,125.1,9.731101,,.16595159,42.5
Idaho,1977,125,9.7265072,,.1639235,45.599998
Idaho,1978,122.8,9.7689333,,.1618953,51.5
Idaho,1979,117.5,9.7373362,,.1598672,55.400002
Idaho,1980,115.2,9.7114964,,.157839,56.400002
Idaho,1981,114.1,9.6848984,,.1563834,59.200001
Idaho,1982,111.5,9.645257,,.15492781,67.599998
Idaho,1983,111.3,9.6945438,,.1534723,76.5
Idaho,1984,103.6,9.7073164,23.200001,.1520167,88.5
Idaho,1985,100.7,9.7152567,22.299999,.1505612,97.599998
Idaho,1986,96.699997,9.7362137,22.5,.14910559,99.900002
Idaho,1987,95,9.7407227,22,.14765,107.1
Idaho,1988,84.5,9.7660036,21.1,.1461945,121.9
Idaho,1989,78.400002,9.8279266,21.6,.1447389,133.60001
Idaho,1990,90.099998,9.8399277,22.9,.14328329,141.3
Idaho,1991,85.400002,9.8350945,22.200001,,144.39999
Idaho,1992,85.099998,9.8561497,22.6,,167.2
Idaho,1993,86.699997,9.8773632,21.799999,,171.2
Idaho,1994,93,9.903079,21.4,,150.5
Idaho,1995,78.199997,9.9196787,20.1,,163.5
Idaho,1996,73.599998,9.9336338,20.6,,176.5
Idaho,1997,75,9.9219522,20.1,,184.39999
Idaho,1998,78.900002,,,,187.10001
Idaho,1999,75.099998,,,,210.7
Idaho,2000,66.900002,,,,275.89999
Illinois,1970,124.8,,,.16696671,41.400002
Illinois,1971,125.6,,,.1689976,41.400002
Illinois,1972,126.6,9.9081612,,.17102849,41.900002
Illinois,1973,124.4,9.9615955,,.1730594,41
Illinois,1974,131.89999,9.9463148,,.1750903,41.900002
Illinois,1975,131.8,9.9341898,,.17712121,45.200001
Illinois,1976,134.39999,9.965498,,.1791521,48.400002
Illinois,1977,134,9.9969492,,.181183,49.400002
Illinois,1978,136.7,10.0236,,.1832139,54.599998
Illinois,1979,135.3,10.01367,,.1852448,56.799999
Illinois,1980,135.2,9.9621735,,.1872758,60
Illinois,1981,133,9.9650173,,.1830271,63.099998
Illinois,1982,130.7,9.9449787,,.1787785,69.599998
Illinois,1983,127.9,9.9548035,,.17452981,80.800003
Illinois,1984,124,10.00314,24.6,.1702812,89.599998
Illinois,1985,121.6,10.02082,24.299999,.16603249,96.699997
Illinois,1986,118.2,10.0553,24.700001,.1617839,108.4
Illinois,1987,109.5,10.06775,25.1,.1575353,116.2
Illinois,1988,107.6,10.08796,25,.15328661,124.1
Illinois,1989,104.6,10.11391,24.4,.149038,132.7
Illinois,1990,94.099998,10.11675,25.700001,.14478929,147.3
Illinois,1991,96.099998,10.09824,24.4,,154
Illinois,1992,94.800003,10.12329,23.799999,,179.8
Illinois,1993,94.599998,10.12783,23.5,,187.5
Illinois,1994,85.699997,10.15419,23.6,,182.10001
Illinois,1995,84.300003,10.20035,23.200001,,185.2
Illinois,1996,81.800003,10.22424,22.9,,188.7
Illinois,1997,79.599998,10.23659,22.9,,198.7
Illinois,1998,80.300003,,,,202.3
Illinois,1999,72.199997,,,,240.5
Illinois,2000,70,,,,312.70001
Indiana,1970,134.60001,,,.17651591,30.6
Indiana,1971,139.3,,,.1779718,32.200001
Indiana,1972,149.2,9.7318726,,.17942759,32.5
Indiana,1973,156,9.8068829,,.1808835,32.900002
Indiana,1974,159.60001,9.7631845,,.1823394,34.5
Indiana,1975,162.39999,9.7436609,,.1837953,36.700001
Indiana,1976,166.60001,9.7987547,,.18525121,38.700001
Indiana,1977,173,9.8333149,,.186707,40.599998
Indiana,1978,150.89999,9.8652325,,.18816289,50
Indiana,1979,148.89999,9.8514891,,.1896188,52.5
Indiana,1980,146.89999,9.7957764,,.1910747,53.700001
Indiana,1981,148.5,9.7881498,,.1870784,58.299999
Indiana,1982,147.7,9.7577543,,.18308219,65.099998
Indiana,1983,143,9.7750578,,.1790859,75.699997
Indiana,1984,137.8,9.8294573,22,.1750897,85.199997
Indiana,1985,135.3,9.8443022,22,.1710934,88.800003
Indiana,1986,137.60001,9.8822317,22.1,.16709711,93.599998
Indiana,1987,134,9.8970432,21.9,.1631009,100.1
Indiana,1988,134,9.9150448,21.9,.1591046,109.3
Indiana,1989,132.5,9.9365816,21.5,.15510841,119
Indiana,1990,128.3,9.9351416,22.4,.15111209,130.8
Indiana,1991,127.2,9.9210815,21.6,,135.8
Indiana,1992,128.2,9.9537973,20.700001,,153.5
Indiana,1993,126.8,9.9656334,20.5,,157.5
Indiana,1994,128.2,10.00135,20.6,,146.60001
Indiana,1995,135.39999,10.04371,20.1,,146.3
Indiana,1996,135.10001,10.06089,20.299999,,147.8
Indiana,1997,135.3,10.05211,20.299999,,156.3
Indiana,1998,135.89999,,,,166.8
Indiana,1999,133.3,,,,190
Indiana,2000,125.5,,,,260.20001
Iowa,1970,108.5,,,.1688496,37.700001
Iowa,1971,108.4,,,.170839,38.5
Iowa,1972,109.4,9.7302647,,.1728285,41.900002
Iowa,1973,110.6,9.8583717,,.1748179,41.900002
Iowa,1974,116.1,9.7882767,,.1768073,43.200001
Iowa,1975,120.5,9.8002882,,.1787968,45.400002
Iowa,1976,124.4,9.8033323,,.18078621,47.799999
Iowa,1977,125.5,9.8393202,,.18277571,49.400002
Iowa,1978,127.1,9.9141836,,.1847651,54.599998
Iowa,1979,124.2,9.881053,,.1867546,56.400002
Iowa,1980,124.6,9.8101025,,.18874399,58.799999
Iowa,1981,132.89999,9.8386841,,.1840352,61.400002
Iowa,1982,116.2,9.7953053,,.1793265,72.800003
Iowa,1983,115.6,9.7835722,,.17461769,84
Iowa,1984,111.2,9.8315821,23.9,.1699089,93.300003
Iowa,1985,109.4,9.839345,22.9,.1652002,99.5
Iowa,1986,104.1,9.8702335,23.299999,.16049141,104.8
Iowa,1987,101.1,9.8879442,23.1,.1557826,117.1
Iowa,1988,100.2,9.8755713,23,.1510739,124.2
Iowa,1989,94.400002,9.9159241,22.700001,.14636511,145.10001
Iowa,1990,95.400002,9.9278059,23.6,.1416564,149.60001
Iowa,1991,97.099998,9.911109,23.5,,155.39999
Iowa,1992,95.199997,9.942481,23.299999,,178.5
Iowa,1993,92.5,9.9209833,23,,189.7
Iowa,1994,93.400002,9.9968672,23.299999,,171.39999
Iowa,1995,93,10.00185,22.700001,,179
Iowa,1996,94,10.04901,23.1,,183.8
Iowa,1997,93.900002,10.04928,23.299999,,189.3
Iowa,1998,94,,,,193.8
Iowa,1999,91.699997,,,,213
Iowa,2000,88.900002,,,,286.29999
Kansas,1970,114,,,.18052471,34.200001
Kansas,1971,102.8,,,.18155,38.900002
Kansas,1972,111,9.7681179,,.1825754,38.799999
Kansas,1973,115.2,9.8382292,,.1836008,39.299999
Kansas,1974,118.6,9.8108969,,.1846261,40.200001
Kansas,1975,123.4,9.8006124,,.1856515,42.700001
Kansas,1976,127.7,9.8306255,,.1866769,46.599998
Kansas,1977,127.9,9.8480768,,.18770219,48.099998
Kansas,1978,127.1,9.8756046,,.1887276,52.599998
Kansas,1979,126.4,9.9037971,,.189753,54.799999
Kansas,1980,127.1,9.8624439,,.1907783,58.299999
Kansas,1981,132,9.8771791,,.1857294,59.799999
Kansas,1982,130.89999,9.8813038,,.1806805,65.099998
Kansas,1983,127.6,9.8855658,,.1756316,77
Kansas,1984,121.7,9.9164648,20.700001,.1705827,91
Kansas,1985,115.7,9.9359484,20.1,.16553371,97.5
Kansas,1986,109.4,9.9614182,19.9,.16048481,103
Kansas,1987,105.2,9.9628201,19.700001,.1554359,114.5
Kansas,1988,103.2,9.9697027,19.299999,.150387,123.9
Kansas,1989,96.5,9.9629526,19.4,.145338,136.5
Kansas,1990,94.300003,9.9836664,19.700001,.1402891,145.8
Kansas,1991,91.800003,9.9764175,20,,152.7
Kansas,1992,90,9.9982672,19.200001,,174.2
Kansas,1993,89.900002,10.00207,19.4,,174.2
Kansas,1994,89.099998,10.02658,19.5,,159.60001
Kansas,1995,90.099998,10.04495,19.1,,165.7
Kansas,1996,88.699997,10.07641,18.9,,167.7
Kansas,1997,89.199997,10.08714,19.700001,,171.3
Kansas,1998,87.599998,,,,184.3
Kansas,1999,83.300003,,,,207
Kansas,2000,79.800003,,,,271.20001
Kentucky,1970,155.8,,,.1813101,28.299999
Kentucky,1971,163.5,,,.1822996,30.1
Kentucky,1972,179.39999,9.5474815,,.18328901,30.6
Kentucky,1973,201.89999,9.598115,,.1842785,30.6
Kentucky,1974,212.39999,9.6005249,,.1852679,31.5
Kentucky,1975,223,9.5793238,,.18625741,33.299999
Kentucky,1976,230.89999,9.6248569,,.1872468,36
Kentucky,1977,229.39999,9.6726656,,.1882363,36.900002
Kentucky,1978,224.7,9.703743,,.1892257,41.400002
Kentucky,1979,214.89999,9.7025099,,.1902151,43.400002
Kentucky,1980,215.3,9.6613588,,.19120459,46.299999
Kentucky,1981,209.7,9.6655722,,.1872535,49.400002
Kentucky,1982,210.60001,9.6542597,,.1833023,56.299999
Kentucky,1983,201.10001,9.642765,,.1793512,66.400002
Kentucky,1984,183.2,9.6995554,18.5,.17540009,75.400002
Kentucky,1985,182.39999,9.7036314,18.9,.1714489,79.300003
Kentucky,1986,179.8,9.7299166,19.200001,.1674978,85.400002
Kentucky,1987,171.2,9.7397251,19,.1635467,90.5
Kentucky,1988,173.2,9.7585793,19.1,.15959559,94.400002
Kentucky,1989,171.60001,9.7873411,18.299999,.1556444,103.8
Kentucky,1990,182.5,9.8046007,20.1,.1516933,115.6
Kentucky,1991,170.39999,9.8089809,19.4,,120.5
Kentucky,1992,167.60001,9.8416891,19,,135.8
Kentucky,1993,167.60001,9.8432503,19.299999,,145.39999
Kentucky,1994,170.10001,9.8683996,19.6,,132.8
Kentucky,1995,175.3,9.9034758,18.9,,134.8
Kentucky,1996,179,9.9274874,19.1,,139.8
Kentucky,1997,186.8,9.9321775,19.299999,,145.60001
Kentucky,1998,171.3,,,,155.7
Kentucky,1999,165.3,,,,179.2
Kentucky,2000,156.2,,,,243.39999
Louisiana,1970,115.9,,,.18518519,34.299999
Louisiana,1971,119.8,,,.1867808,39.299999
Louisiana,1972,125.3,9.5173655,,.1883764,40
Louisiana,1973,126.7,9.5641108,,.189972,39.900002
Louisiana,1974,129.89999,9.5798197,,.1915676,41.599998
Louisiana,1975,133.60001,9.5852079,,.1931632,44.299999
Louisiana,1976,139.60001,9.6443291,,.1947588,48.099998
Louisiana,1977,140,9.6790781,,.1963544,48.900002
Louisiana,1978,142.7,9.7316809,,.19795001,54.200001
Louisiana,1979,140.10001,9.7377748,,.19954561,57.099998
